Level,PhysicalPower,MagicPower,Range,Size,Duration,AttackSpeed,Amount
1,0,8,1,1,1,5,1
2,0,8.184873949579831,1.1596638655462184,1.0336134453781514,1.1596638655462184,5.042016806722689,1.050420168067227
3,0,8.369747899159663,1.3193277310924367,1.0672268907563027,1.3193277310924367,5.084033613445378,1.1008403361344539
4,0,8.554621848739494,1.478991596638655,1.100840336134454,1.478991596638655,5.126050420168067,1.1512605042016808
5,0,8.739495798319325,1.6386554621848735,1.1344537815126055,1.6386554621848735,5.168067226890756,1.2016806722689077
6,0,8.924369747899156,1.7983193277310918,1.1680672268907568,1.7983193277310918,5.210084033613445,1.2521008403361347
7,0,9.109243697478988,1.9579831932773102,1.2016806722689082,1.9579831932773102,5.252100840336134,1.3025210084033616
8,0,9.294117647058819,2.1176470588235285,1.2352941176470595,2.1176470588235285,5.2941176470588225,1.3529411764705885
9,0,9.47899159663865,2.277310924369747,1.268907563025211,2.277310924369747,5.336134453781511,1.4033613445378155
10,0,9.663865546218481,2.4369747899159653,1.3025210084033623,2.4369747899159653,5.3781512605042,1.4537815126050424
11,0,9.848739495798313,2.5966386554621836,1.3361344537815136,2.5966386554621836,5.420168067226889,1.5042016806722693
12,0,10.033613445378144,2.756302521008402,1.369747899159665,2.756302521008402,5.462184873949578,1.5546218487394963
13,0,10.218487394957975,2.9159663865546204,1.4033613445378164,2.9159663865546204,5.504201680672267,1.6050420168067232
14,0,10.403361344537807,3.0756302521008387,1.4369747899159677,3.0756302521008387,5.546218487394956,1.6554621848739501
15,0,10.588235294117638,3.235294117647057,1.470588235294119,3.235294117647057,5.588235294117645,1.705882352941177
16,0,10.77310924369747,3.3949579831932755,1.5042016806722704,3.3949579831932755,5.630252100840334,1.756302521008404
17,0,10.9579831932773,3.554621848739494,1.5378151260504218,3.554621848739494,5.672268907563023,1.806722689075631
18,0,11.142857142857132,3.714285714285712,1.5714285714285732,3.714285714285712,5.714285714285712,1.8571428571428579
19,0,11.327731092436963,3.8739495798319306,1.6050420168067245,3.8739495798319306,5.756302521008401,1.9075630252100848
20,0,11.512605042016794,4.033613445378149,1.638655462184876,4.033613445378149,5.79831932773109,1.9579831932773117
21,0,11.697478991596626,4.193277310924368,1.6722689075630273,4.193277310924368,5.8403361344537785,2.0084033613445387
22,0,11.882352941176457,4.352941176470587,1.7058823529411786,4.352941176470587,5.8823529411764675,2.0588235294117654
23,0,12.067226890756288,4.512605042016806,1.73949579831933,4.512605042016806,5.924369747899156,2.109243697478992
24,0,12.25210084033612,4.672268907563025,1.7731092436974814,4.672268907563025,5.966386554621845,2.159663865546219
25,0,12.43697478991595,4.831932773109243,1.8067226890756327,4.831932773109243,6.008403361344534,2.2100840336134455
26,0,12.621848739495782,4.991596638655462,1.840336134453784,4.991596638655462,6.050420168067223,2.2605042016806722
27,0,12.806722689075613,5.151260504201681,1.8739495798319354,5.151260504201681,6.092436974789912,2.310924369747899
28,0,12.991596638655444,5.3109243697479,1.9075630252100868,5.3109243697479,6.134453781512601,2.3613445378151257
29,0,13.176470588235276,5.470588235294119,1.9411764705882382,5.470588235294119,6.17647058823529,2.4117647058823524
30,0,13.361344537815107,5.6302521008403374,1.9747899159663895,5.6302521008403374,6.218487394957979,2.462184873949579
31,0,13.546218487394938,5.789915966386556,2.008403361344541,5.789915966386556,6.260504201680668,2.512605042016806
32,0,13.73109243697477,5.949579831932775,2.042016806722692,5.949579831932775,6.302521008403357,2.5630252100840325
33,0,13.9159663865546,6.109243697478994,2.075630252100843,6.109243697478994,6.344537815126046,2.613445378151259
34,0,14.100840336134432,6.268907563025213,2.1092436974789943,6.268907563025213,6.386554621848735,2.663865546218486
35,0,14.285714285714263,6.4285714285714315,2.1428571428571455,6.4285714285714315,6.4285714285714235,2.7142857142857126
36,0,14.470588235294095,6.58823529411765,2.1764705882352966,6.58823529411765,6.470588235294112,2.7647058823529393
37,0,14.655462184873926,6.747899159663869,2.2100840336134477,6.747899159663869,6.512605042016801,2.815126050420166
38,0,14.840336134453757,6.907563025210088,2.243697478991599,6.907563025210088,6.55462184873949,2.8655462184873928
39,0,15.025210084033588,7.067226890756307,2.27731092436975,7.067226890756307,6.596638655462179,2.9159663865546195
40,0,15.21008403361342,7.2268907563025255,2.310924369747901,7.2268907563025255,6.638655462184868,2.966386554621846
41,0,15.394957983193251,7.386554621848744,2.3445378151260523,7.386554621848744,6.680672268907557,3.016806722689073
42,0,15.579831932773082,7.546218487394963,2.3781512605042034,7.546218487394963,6.722689075630246,3.0672268907562996
43,0,15.764705882352914,7.705882352941182,2.4117647058823546,7.705882352941182,6.764705882352935,3.1176470588235263
44,0,15.949579831932745,7.865546218487401,2.4453781512605057,7.865546218487401,6.806722689075624,3.168067226890753
45,0,16.134453781512576,8.025210084033619,2.478991596638657,8.025210084033619,6.848739495798313,3.2184873949579798
46,0,16.319327731092407,8.184873949579837,2.512605042016808,8.184873949579837,6.890756302521002,3.2689075630252065
47,0,16.50420168067224,8.344537815126055,2.546218487394959,8.344537815126055,6.932773109243691,3.319327731092433
48,0,16.68907563025207,8.504201680672272,2.5798319327731103,8.504201680672272,6.9747899159663795,3.36974789915966
49,0,16.8739495798319,8.66386554621849,2.6134453781512614,8.66386554621849,7.0168067226890685,3.4201680672268866
50,0,17.058823529411733,8.823529411764708,2.6470588235294126,8.823529411764708,7.058823529411757,3.4705882352941133
51,0,17.243697478991564,8.983193277310926,2.6806722689075637,8.983193277310926,7.100840336134446,3.52100840336134
52,0,17.428571428571395,9.142857142857144,2.714285714285715,9.142857142857144,7.142857142857135,3.5714285714285667
53,0,17.613445378151226,9.302521008403362,2.747899159663866,9.302521008403362,7.184873949579824,3.6218487394957934
54,0,17.798319327731058,9.46218487394958,2.781512605042017,9.46218487394958,7.226890756302513,3.67226890756302
55,0,17.98319327731089,9.621848739495798,2.8151260504201683,9.621848739495798,7.268907563025202,3.722689075630247
56,0,18.16806722689072,9.781512605042016,2.8487394957983194,9.781512605042016,7.310924369747891,3.7731092436974736
57,0,18.35294117647055,9.941176470588234,2.8823529411764706,9.941176470588234,7.35294117647058,3.8235294117647003
58,0,18.537815126050383,10.100840336134452,2.9159663865546217,10.100840336134452,7.394957983193269,3.873949579831927
59,0,18.722689075630214,10.26050420168067,2.949579831932773,10.26050420168067,7.436974789915958,3.9243697478991537
60,0,18.907563025210045,10.420168067226887,2.983193277310924,10.420168067226887,7.478991596638647,3.9747899159663804
61,0,19.092436974789877,10.579831932773105,3.016806722689075,10.579831932773105,7.521008403361336,4.025210084033607
62,0,19.277310924369708,10.739495798319323,3.0504201680672263,10.739495798319323,7.5630252100840245,4.075630252100834
63,0,19.46218487394954,10.899159663865541,3.0840336134453774,10.899159663865541,7.605042016806713,4.126050420168061
64,0,19.64705882352937,11.05882352941176,3.1176470588235285,11.05882352941176,7.647058823529402,4.176470588235287
65,0,19.8319327731092,11.218487394957977,3.1512605042016797,11.218487394957977,7.689075630252091,4.226890756302514
66,0,20.016806722689033,11.378151260504195,3.184873949579831,11.378151260504195,7.73109243697478,4.277310924369741
67,0,20.201680672268864,11.537815126050413,3.218487394957982,11.537815126050413,7.773109243697469,4.327731092436967
68,0,20.386554621848695,11.69747899159663,3.252100840336133,11.69747899159663,7.815126050420158,4.378151260504194
69,0,20.571428571428527,11.857142857142849,3.2857142857142843,11.857142857142849,7.857142857142847,4.428571428571421
70,0,20.756302521008358,12.016806722689067,3.3193277310924354,12.016806722689067,7.899159663865536,4.4789915966386475
71,0,20.94117647058819,12.176470588235285,3.3529411764705865,12.176470588235285,7.941176470588225,4.529411764705874
72,0,21.12605042016802,12.336134453781503,3.3865546218487377,12.336134453781503,7.983193277310914,4.579831932773101
73,0,21.310924369747852,12.49579831932772,3.420168067226889,12.49579831932772,8.025210084033603,4.630252100840328
74,0,21.495798319327683,12.655462184873938,3.45378151260504,12.655462184873938,8.067226890756292,4.680672268907554
75,0,21.680672268907514,12.815126050420156,3.487394957983191,12.815126050420156,8.10924369747898,4.731092436974781
76,0,21.865546218487346,12.974789915966374,3.5210084033613422,12.974789915966374,8.15126050420167,4.781512605042008
77,0,22.050420168067177,13.134453781512592,3.5546218487394934,13.134453781512592,8.193277310924358,4.8319327731092345
78,0,22.23529411764701,13.29411764705881,3.5882352941176445,13.29411764705881,8.235294117647047,4.882352941176461
79,0,22.42016806722684,13.453781512605028,3.6218487394957957,13.453781512605028,8.277310924369736,4.932773109243688
