Level,PhysicalPower,MagicPower,Range,Size,Duration,AttackSpeed,Amount
1,10,0,1,1,0,1,1
2,10.319327731092438,0,1.0756302521008403,1.0252100840336134,0,1.0756302521008403,1.0336134453781514
3,10.638655462184875,0,1.1512605042016806,1.0504201680672267,0,1.1512605042016806,1.0672268907563027
4,10.957983193277313,0,1.2268907563025209,1.07563025210084,0,1.2268907563025209,1.100840336134454
5,11.27731092436975,0,1.3025210084033612,1.1008403361344534,0,1.3025210084033612,1.1344537815126055
6,11.596638655462188,0,1.3781512605042014,1.1260504201680668,0,1.3781512605042014,1.1680672268907568
7,11.915966386554626,0,1.4537815126050417,1.1512605042016801,0,1.4537815126050417,1.2016806722689082
8,12.235294117647063,0,1.529411764705882,1.1764705882352935,0,1.529411764705882,1.2352941176470595
9,12.554621848739501,0,1.6050420168067223,1.2016806722689068,0,1.6050420168067223,1.268907563025211
10,12.873949579831939,0,1.6806722689075626,1.2268907563025202,0,1.6806722689075626,1.3025210084033623
11,13.193277310924376,0,1.756302521008403,1.2521008403361336,0,1.756302521008403,1.3361344537815136
12,13.512605042016814,0,1.8319327731092432,1.277310924369747,0,1.8319327731092432,1.369747899159665
13,13.831932773109251,0,1.9075630252100835,1.3025210084033603,0,1.9075630252100835,1.4033613445378164
14,14.151260504201689,0,1.9831932773109238,1.3277310924369736,0,1.9831932773109238,1.4369747899159677
15,14.470588235294127,0,2.058823529411764,1.352941176470587,0,2.058823529411764,1.470588235294119
16,14.789915966386564,0,2.1344537815126046,1.3781512605042003,0,2.1344537815126046,1.5042016806722704
17,15.109243697479002,0,2.210084033613445,1.4033613445378137,0,2.210084033613445,1.5378151260504218
18,15.42857142857144,0,2.2857142857142856,1.428571428571427,0,2.2857142857142856,1.5714285714285732
19,15.747899159663877,0,2.361344537815126,1.4537815126050404,0,2.361344537815126,1.6050420168067245
20,16.067226890756313,0,2.4369747899159666,1.4789915966386538,0,2.4369747899159666,1.638655462184876
21,16.38655462184875,0,2.512605042016807,1.5042016806722671,0,2.512605042016807,1.6722689075630273
22,16.705882352941185,0,2.5882352941176476,1.5294117647058805,0,2.5882352941176476,1.7058823529411786
